"OHD13CTC.Code.or.Value","OHD13CTC.Value.Description","OHD13CTC.Count","OHD13CTC.Cumulative","OHD13CTC.Skip.to.Item"
"D","Sound primary tooth",1469,1469,NA
"E","Missing due to dental disease",311,1780,NA
"K","Primary tooth with surface condition (s)",372,2152,NA
"M","Missing due to other causes",16,2168,NA
"R","Missing due to dental disease but replaced",885,3053,NA
"S","Sound permanent tooth",4270,7323,NA
"U","Unerupted",98,7421,NA
"X","Missing due to other causes but replaced",10,7431,NA
"Y","Tooth present, condition cannot be assessed",6,7437,NA
"Z","Permanent tooth with surface condition (s)",1534,8971,NA
"< blank >","Missing",627,9598,NA
