"OHX13CTC.Code.or.Value","OHX13CTC.Value.Description","OHX13CTC.Count","OHX13CTC.Cumulative","OHX13CTC.Skip.to.Item"
"D","Sound primary tooth",1185,1185,NA
"E","Missing due to dental disease",371,1556,NA
"K","Primary tooth with surface condition (s)",334,1890,NA
"M","Missing due to other causes",4,1894,NA
"R","Missing due to dental disease but replaced",853,2747,NA
"S","Sound permanent tooth",4009,6756,NA
"U","Unerupted",71,6827,NA
"X","Missing due to other causes but replaced",11,6838,NA
"Y","Tooth present, condition cannot be assessed",11,6849,NA
"Z","Permanent tooth with surface condition (s)",1193,8042,NA
"< blank >","Missing",545,8587,NA
