"DR2_030Z.Code.or.Value","DR2_030Z.Value.Description","DR2_030Z.Count","DR2_030Z.Cumulative","DR2_030Z.Skip.to.Item"
"1","Breakfast",18292,18292,NA
"2","Lunch",19609,37901,NA
"3","Dinner",20407,58308,NA
"4","Supper",3386,61694,NA
"5","Brunch",641,62335,NA
"6","Snack",14429,76764,NA
"7","Drink",5867,82631,NA
"8","Infant feeding",3028,85659,NA
"9","Extended consumption",1726,87385,NA
"10","Desayano",1282,88667,NA
"11","Almuerzo",986,89653,NA
"12","Comida",1043,90696,NA
"13","Merienda",473,91169,NA
"14","Cena",1326,92495,NA
"15","Entre comida",215,92710,NA
"16","Botana",148,92858,NA
"17","Bocadillo",270,93128,NA
"18","Tentempie",22,93150,NA
"19","Bebida",346,93496,NA
"91","Other",0,93496,NA
"99","Don't know",4,93500,NA
".","Missing",0,93500,NA
