"INDFMIN2.Code.or.Value","INDFMIN2.Value.Description","INDFMIN2.Count","INDFMIN2.Cumulative","INDFMIN2.Skip.to.Item"
"1","$     0 to $ 4,999",289,289,NA
"2","$ 5,000 to $ 9,999",543,832,NA
"3","$10,000 to $14,999",805,1637,NA
"4","$15,000 to $19,999",828,2465,NA
"5","$20,000 to $24,999",906,3371,NA
"6","$25,000 to $34,999",1245,4616,NA
"7","$35,000 to $44,999",889,5505,NA
"8","$45,000 to $54,999",712,6217,NA
"9","$55,000 to $64,999",583,6800,NA
"10","$65,000 to $74,999",499,7299,NA
"12","Over $20,000",357,7656,NA
"13","Under $20,000",126,7782,NA
"14","$75,000 to $99,999",808,8590,NA
"15","$100,000 and Over",1148,9738,NA
"77","Refused",127,9865,NA
"99","Don't know",190,10055,NA
".","Missing",94,10149,NA
