"OHX25CTC.Code.or.Value","OHX25CTC.Value.Description","OHX25CTC.Count","OHX25CTC.Cumulative","OHX25CTC.Skip.to.Item"
"D","Sound primary tooth",1103,1103,NA
"E","Missing due to dental disease",114,1217,NA
"J","Permanent root tip is present but no restorative replacement is present",20,1237,NA
"K","Primary tooth with surface condition (s)",0,1237,NA
"M","Missing due to other causes",15,1252,NA
"P","Missing due to dental disease but replaced by a removable restoration",434,1686,NA
"Q","Missing due to other causes but replaced by a removable restoration",28,1714,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",42,1756,NA
"S","Sound permanent tooth",6964,8720,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8721,NA
"U","Unerupted",10,8731,NA
"X","Missing due to other causes, but replaced by a fixed restoration",11,8742,NA
"Y","Tooth present, condition cannot be assessed",82,8824,NA
"Z","Permanent tooth with surface condition (s)",141,8965,NA
"< blank >","Missing",457,9422,NA
