"OHX19CSC.Code.or.Value","OHX19CSC.Value.Description","OHX19CSC.Count","OHX19CSC.Cumulative","OHX19CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1794,1794,NA
"0","Lingual surface caries",0,1794,NA
"1","Occlusal/incisal caries",141,1935,NA
"2","Facial surface caries",48,1983,NA
"3","Mesial caries",3,1986,NA
"4","Distal caries",1,1987,NA
"5","Lingual surface restoration",1,1988,NA
"6","Occlusal/incisal restoration",607,2595,NA
"7","Facial surface restoration",166,2761,NA
"8","Mesial restoration",2,2763,NA
"9","Distal restoration",0,2763,NA
"< blank >","Missing",6084,8847,NA
