"OHX24CSC.Code.or.Value","OHX24CSC.Value.Description","OHX24CSC.Count","OHX24CSC.Cumulative","OHX24CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #24","Value was recorded",18,18,NA
"0","Lingual AMALGAM restoration",0,18,NA
"1","Occlusal AMALGAM restoration",0,18,NA
"2","Facial AMALGAM restoration",2,20,NA
"3","Mesial AMALGAM restoration",0,20,NA
"4","Distal AMALGAM restoration",0,20,NA
"5","Lingual OTHER restoration",1,21,NA
"6","Occlusal OTHER restoration",0,21,NA
"7","Facial OTHER restoration",4,25,NA
"8","Mesial OTHER restoration",7,32,NA
"9","Distal OTHER restoration",15,47,NA
"-1","Crown (non-specific full-coverage restoration)",40,87,NA
"-4","Lingual caries",0,87,NA
"-5","Occlusal caries",0,87,NA
"-6","Facial caries",10,97,NA
"-7","Mesial caries",5,102,NA
"-8","Distal caries",7,109,NA
"< blank >","Missing",8257,8366,NA
