"OHX25CSC.Code.or.Value","OHX25CSC.Value.Description","OHX25CSC.Count","OHX25CSC.Cumulative","OHX25CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #25","Value was recorded",99,99,NA
"0","Lingual surface caries",4,103,NA
"2","Facial surface caries",13,116,NA
"3","Mesial caries",3,119,NA
"4","Distal caries",3,122,NA
"5","Lingual surface restoration",2,124,NA
"7","Facial surface restoration",11,135,NA
"8","Mesial restoration",2,137,NA
"9","Distal restoration",3,140,NA
"< blank >","Missing",8816,8956,NA
