"OHX13CTC.Code.or.Value","OHX13CTC.Value.Description","OHX13CTC.Count","OHX13CTC.Cumulative","OHX13CTC.Skip.to.Item"
"D","Sound primary tooth",1494,1494,NA
"E","Missing due to dental disease",426,1920,NA
"J","Permanent root tip is present but no restorative replacement is present",123,2043,NA
"K","Primary tooth with surface condition (s)",386,2429,NA
"M","Missing due to other causes",5,2434,NA
"P","Missing due to dental disease but replaced by a removable restoration",674,3108,NA
"Q","Missing due to other causes but replaced by a removable restoration",33,3141,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",99,3240,NA
"S","Sound permanent tooth",3760,7000,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7000,NA
"U","Unerupted",312,7312,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,7313,NA
"Y","Tooth present, condition cannot be assessed",30,7343,NA
"Z","Permanent tooth with surface condition (s)",1622,8965,NA
"< blank >","Missing",457,9422,NA
