"OHX18CTC.Code.or.Value","OHX18CTC.Value.Description","OHX18CTC.Count","OHX18CTC.Cumulative","OHX18CTC.Skip.to.Item"
"E","Missing due to dental disease",904,904,NA
"J","Permanent root tip is present but no restorative replacement is present",33,937,NA
"M","Missing due to other causes",7,944,NA
"P","Missing due to dental disease but replaced by a removable restoration",639,1583,NA
"Q","Missing due to other causes but replaced by a removable restoration",1,1584,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",21,1605,NA
"S","Sound permanent tooth",2581,4186,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4186,NA
"U","Unerupted",1690,5876,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,5876,NA
"Y","Tooth present, condition cannot be assessed",0,5876,NA
"Z","Permanent tooth with surface condition (s)",2369,8245,NA
"< blank >","Missing",602,8847,NA
