"FFQ0071.Code.or.Value","FFQ0071.Value.Description","FFQ0071.Count","FFQ0071.Cumulative","FFQ0071.Skip.to.Item"
1,"never",1484,1484,"FFQ0072"
2,"1-6 times per year",958,2442,""
3,"7-11 times per year",571,3013,""
4,"1 time per month",560,3573,""
5,"2-3 times per month",908,4481,""
6,"1 time per week",520,5001,""
7,"2 times per week",529,5530,""
8,"3-4 times per week",262,5792,""
9,"5-6 times per week",64,5856,""
10,"1 time per day",49,5905,""
11,"2 or more times per day",17,5922,""
88,"Blank",82,6004,""
99,"Error",9,6013,""
