"OHX09CSC.Code.or.Value","OHX09CSC.Value.Description","OHX09CSC.Count","OHX09CSC.Cumulative","OHX09CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #9","Value was recorded",639,639,NA
"0","Lingual surface caries",13,652,NA
"2","Facial surface caries",22,674,NA
"3","Mesial caries",43,717,NA
"4","Distal caries",26,743,NA
"5","Lingual surface restoration",36,779,NA
"7","Facial surface restoration",27,806,NA
"8","Mesial restoration",8,814,NA
"9","Distal restoration",12,826,NA
"< blank >","Missing",8130,8956,NA
