"FFQ0119.Code.or.Value","FFQ0119.Value.Description","FFQ0119.Count","FFQ0119.Cumulative","FFQ0119.Skip.to.Item"
1,"never",1317,1317,"FFQ0120"
2,"1-6 times per year",2218,3535,""
3,"7-11 times per year",1040,4575,""
4,"1 time per month",765,5340,""
5,"2-3 times per month",603,5943,""
6,"1 time per week",195,6138,""
7,"2 times per week",107,6245,""
8,"3-4 times per week",41,6286,""
9,"5-6 times per week",16,6302,""
10,"1 time per day",12,6314,""
11,"2 or more times per day",16,6330,""
88,"Blank",117,6447,""
99,"Error",25,6472,""
