"FFQ0003.Code.or.Value","FFQ0003.Value.Description","FFQ0003.Count","FFQ0003.Cumulative","FFQ0003.Skip.to.Item"
1,"never",1439,1439,NA
2,"1 time per month or less",1612,3051,NA
3,"2-3 times per month",1260,4311,NA
4,"1-2 times per week",735,5046,NA
5,"3-4 times per week",526,5572,NA
6,"5-6 times per week",222,5794,NA
7,"1 time per day",235,6029,NA
8,"2-3 times per day",239,6268,NA
9,"4-5 times per day",73,6341,NA
10,"6 or more times per day",41,6382,NA
88,"Blank",50,6432,NA
99,"Error",40,6472,NA
