"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",3520,3520,""
"2","More than 6 months, but not more than 1 year ago",1626,5146,""
"3","More than 1 year, but not more than 2 years ago",1168,6314,""
"4","More than 2 years, but not more than 3 years ago",587,6901,""
"5","More than 3 years, but not more than 5 years ago",526,7427,""
"6","More than 5 years ago",952,8379,""
"7","Never have been",804,9183,"End of Section"
"77","Refused",5,9188,""
"99","Don't know",36,9224,""
".","Missing",6,9230,""
