"OHX28CSC.Code.or.Value","OHX28CSC.Value.Description","OHX28CSC.Count","OHX28CSC.Cumulative","OHX28CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #28","Value was recorded",806,806,NA
"0","Lingual surface caries",2,808,NA
"1","Occlusal/incisal caries",46,854,NA
"2","Facial surface caries",33,887,NA
"3","Mesial caries",4,891,NA
"4","Distal caries",12,903,NA
"5","Lingual surface restoration",0,903,NA
"6","Occlusal/incisal restoration",349,1252,NA
"7","Facial surface restoration",40,1292,NA
"8","Mesial restoration",0,1292,NA
"9","Distal restoration",1,1293,NA
"< blank >","Missing",8129,9422,NA
