"OHX22CSC.Code.or.Value","OHX22CSC.Value.Description","OHX22CSC.Count","OHX22CSC.Cumulative","OHX22CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #22","Value was recorded",170,170,NA
"0","Lingual surface caries",1,171,NA
"2","Facial surface caries",58,229,NA
"3","Mesial caries",13,242,NA
"4","Distal caries",8,250,NA
"5","Lingual surface restoration",10,260,NA
"7","Facial surface restoration",64,324,NA
"8","Mesial restoration",7,331,NA
"9","Distal restoration",10,341,NA
"< blank >","Missing",9081,9422,NA
