"OHX25CTC.Code.or.Value","OHX25CTC.Value.Description","OHX25CTC.Count","OHX25CTC.Cumulative","OHX25CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",3,3,NA
"D","Sound primary tooth",897,900,NA
"E","Missing due to dental disease",145,1045,NA
"F","Permanent tooth with a restored surface condition",67,1112,NA
"J","Permanent root tip is present but no restorative replacement is present",15,1127,NA
"K","Primary tooth with a dental carious surface condition",0,1127,NA
"M","Missing due to other causes",19,1146,NA
"P","Missing due to dental disease but replaced by a removable restoration",448,1594,NA
"Q","Missing due to other causes but replaced by a removable restoration",28,1622,NA
"R","Missing due to dental disease but replaced by a fixed restoration",31,1653,NA
"S","Sound permanent tooth",6374,8027,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8027,NA
"U","Unerupted",14,8041,NA
"X","Missing due to other causes but replaced by a fixed restoration",5,8046,NA
"Y","Tooth present, condition cannot be assessed",21,8067,NA
"Z","Permanent tooth with a dental carious surface condition",33,8100,NA
"< blank >","Missing",266,8366,NA
