"OHX26CSC.Code.or.Value","OHX26CSC.Value.Description","OHX26CSC.Count","OHX26CSC.Cumulative","OHX26CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #26","Value was recorded",87,87,NA
"0","Lingual surface caries",1,88,NA
"2","Facial surface caries",21,109,NA
"3","Mesial caries",6,115,NA
"4","Distal caries",7,122,NA
"5","Lingual surface restoration",5,127,NA
"7","Facial surface restoration",14,141,NA
"8","Mesial restoration",1,142,NA
"9","Distal restoration",3,145,NA
"< blank >","Missing",8811,8956,NA
