Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHAEXSTS,OHXDEN_C,Overall Oral Health Exam Status,Health Status,http://purl.obolibrary.org/obo/NCIT_C16669,0.662586337,NCIT
OHAEXSTS,OHXDEN_C,Overall Oral Health Exam Status,Oral health education (procedure),http://snomed.info/id/243085009,0.432278179,SNOMED
OHAEXSTS,OHXDEN_C,Overall Oral Health Exam Status,dental exam,http://purl.obolibrary.org/obo/OHD_0000019,0.350545762,OHD
OHASCST3,OHXDEN_C,Dentition Status Code,Status Code,http://purl.obolibrary.org/obo/NCIT_C164628,0.714198224,NCIT
OHASCST3,OHXDEN_C,Dentition Status Code,Dentition (body structure),http://snomed.info/id/245543004,0.49701542,SNOMED
OHASCST3,OHXDEN_C,Dentition Status Code,dentist,http://purl.obolibrary.org/obo/OHD_0000018,0.323605075,OHD
OHX01TC,OHXDEN_C,Tooth Count: #1,Tooth 1,http://purl.obolibrary.org/obo/NCIT_C94579,0.783085921,NCIT
OHX01TC,OHXDEN_C,Tooth Count: #1,Sound tooth count (observable entity),http://snomed.info/id/251320006,0.619744522,SNOMED
OHX01TC,OHXDEN_C,Tooth Count: #1,missing tooth 1 finding,http://purl.obolibrary.org/obo/OHD_0000059,0.364424332,OHD
OHX02CSC,OHXDEN_C,Coronal Caries: Surface condition #2,Conditional,http://purl.obolibrary.org/obo/NCIT_C63905,0.614097528,NCIT
OHX02CSC,OHXDEN_C,Coronal Caries: Surface condition #2,On conditional probation (finding),http://snomed.info/id/414936000,0.455255265,SNOMED
OHX02CSC,OHXDEN_C,Coronal Caries: Surface condition #2,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.420643129,OHD
OHX02CTC,OHXDEN_C,Coronal Caries: Tooth count #2,Coronal Plane,http://purl.obolibrary.org/obo/NCIT_C94876,0.562686168,NCIT
OHX02CTC,OHXDEN_C,Coronal Caries: Tooth count #2,Coronal depression of tooth (body structure),http://snomed.info/id/9502002,0.469649284,SNOMED
OHX02CTC,OHXDEN_C,Coronal Caries: Tooth count #2,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.462082396,OHD
OHX02DI,OHXDEN_C,Fluorosis DI: #2,Dental Fluorosis,http://purl.obolibrary.org/obo/NCIT_C85059,0.868809738,NCIT
OHX02DI,OHXDEN_C,Fluorosis DI: #2,Fluorosis (disorder),http://snomed.info/id/244183009,0.770351322,SNOMED
OHX02DI,OHXDEN_C,Fluorosis DI: #2,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.325839352,OHD
OHX02SE,OHXDEN_C,Dental Sealants: #2,Sealant,http://purl.obolibrary.org/obo/NCIT_C52587,0.675769714,NCIT
OHX02SE,OHXDEN_C,Dental Sealants: #2,Sealant (substance),http://snomed.info/id/311899008,0.507092251,SNOMED
OHX02SE,OHXDEN_C,Dental Sealants: #2,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.392650296,OHD
OHX02TC,OHXDEN_C,Tooth Count: #2,Tooth 2,http://purl.obolibrary.org/obo/NCIT_C94584,0.781332101,NCIT
OHX02TC,OHXDEN_C,Tooth Count: #2,Sound tooth count (observable entity),http://snomed.info/id/251320006,0.625827863,SNOMED
OHX02TC,OHXDEN_C,Tooth Count: #2,missing tooth 2 finding,http://purl.obolibrary.org/obo/OHD_0000060,0.355107889,OHD
OHX03CSC,OHXDEN_C,Coronal Caries: Surface condition #3,Conditional,http://purl.obolibrary.org/obo/NCIT_C63905,0.610387447,NCIT
OHX03CSC,OHXDEN_C,Coronal Caries: Surface condition #3,On conditional probation (finding),http://snomed.info/id/414936000,0.452504833,SNOMED
OHX03CSC,OHXDEN_C,Coronal Caries: Surface condition #3,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.418101807,OHD
OHX03CTC,OHXDEN_C,Coronal Caries: Tooth count #3,Coronal Plane,http://purl.obolibrary.org/obo/NCIT_C94876,0.558044256,NCIT
OHX03CTC,OHXDEN_C,Coronal Caries: Tooth count #3,Coronal depression of tooth (body structure),http://snomed.info/id/9502002,0.465774886,SNOMED
OHX03CTC,OHXDEN_C,Coronal Caries: Tooth count #3,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.458270421,OHD
OHX03DI,OHXDEN_C,Fluorosis DI: #3,Dental Fluorosis,http://purl.obolibrary.org/obo/NCIT_C85059,0.858304619,NCIT
OHX03DI,OHXDEN_C,Fluorosis DI: #3,Fluorosis (disorder),http://snomed.info/id/244183009,0.761036703,SNOMED
OHX03DI,OHXDEN_C,Fluorosis DI: #3,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.321899501,OHD
OHX03SE,OHXDEN_C,Dental Sealants: #3,Sealant,http://purl.obolibrary.org/obo/NCIT_C52587,0.667845978,NCIT
OHX03SE,OHXDEN_C,Dental Sealants: #3,Sealant (substance),http://snomed.info/id/311899008,0.501146342,SNOMED
OHX03SE,OHXDEN_C,Dental Sealants: #3,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.388046276,OHD
