"OHX14CTC.Code.or.Value","OHX14CTC.Value.Description","OHX14CTC.Count","OHX14CTC.Cumulative","OHX14CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",631,631,NA
"J","Permanent root tip is present but no restorative replacement is present",114,745,NA
"K","Primary tooth with surface condition (s)",0,745,NA
"M","Missing due to other causes",3,748,NA
"P","Missing due to dental disease but replaced by a removable restoration",698,1446,NA
"Q","Missing due to other causes but replaced by a removable restoration",35,1481,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",72,1553,NA
"S","Sound permanent tooth",3234,4787,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4787,NA
"U","Unerupted",1178,5965,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,5965,NA
"Y","Tooth present, condition cannot be assessed",59,6024,NA
"Z","Permanent tooth with surface condition (s)",2941,8965,NA
"< blank >","Missing",457,9422,NA
