"OHX12CTC.Code.or.Value","OHX12CTC.Value.Description","OHX12CTC.Count","OHX12CTC.Cumulative","OHX12CTC.Skip.to.Item"
"D","Sound primary tooth",1585,1585,NA
"E","Missing due to dental disease",315,1900,NA
"J","Permanent root tip is present but no restorative replacement is present",117,2017,NA
"K","Primary tooth with surface condition (s)",275,2292,NA
"M","Missing due to other causes",345,2637,NA
"P","Missing due to dental disease but replaced by a removable restoration",666,3303,NA
"Q","Missing due to other causes but replaced by a removable restoration",35,3338,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",74,3412,NA
"S","Sound permanent tooth",3990,7402,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7404,NA
"U","Unerupted",106,7510,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,7511,NA
"Y","Tooth present, condition cannot be assessed",63,7574,NA
"Z","Permanent tooth with surface condition (s)",1391,8965,NA
"< blank >","Missing",457,9422,NA
