"OHX29CTC.Code.or.Value","OHX29CTC.Value.Description","OHX29CTC.Count","OHX29CTC.Cumulative","OHX29CTC.Skip.to.Item"
"D","Sound primary tooth",1173,1173,NA
"E","Missing due to dental disease",347,1520,NA
"K","Primary tooth with surface condition (s)",391,1911,NA
"M","Missing due to other causes",6,1917,NA
"R","Missing due to dental disease but replaced",611,2528,NA
"S","Sound permanent tooth",4253,6781,NA
"U","Unerupted",58,6839,NA
"X","Missing due to other causes but replaced",5,6844,NA
"Y","Tooth present, condition cannot be assessed",12,6856,NA
"Z","Permanent tooth with surface condition (s)",1186,8042,NA
"< blank >","Missing",545,8587,NA
