"OHX04CTC.Code.or.Value","OHX04CTC.Value.Description","OHX04CTC.Count","OHX04CTC.Cumulative","OHX04CTC.Skip.to.Item"
"D","Sound primary tooth",1187,1187,NA
"E","Missing due to dental disease",357,1544,NA
"J","Permanent root tip is present but no restorative replacement is present",44,1588,NA
"K","Primary tooth with surface condition (s)",351,1939,NA
"M","Missing due to other causes",9,1948,NA
"P","Missing due to dental disease but replaced by a removable restoration",859,2807,NA
"Q","Missing due to other causes but replaced by a removable restoration",4,2811,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",57,2868,NA
"S","Sound permanent tooth",3970,6838,NA
"T","Permanent root tip is present but a restorative replacement is present",1,6839,NA
"U","Unerupted",107,6946,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,6947,NA
"Y","Tooth present, condition cannot be assessed",0,6947,NA
"Z","Permanent tooth with surface condition (s)",1298,8245,NA
"< blank >","Missing",602,8847,NA
