"PFQ063A.Code.or.Value","PFQ063A.Value.Description","PFQ063A.Count","PFQ063A.Cumulative","PFQ063A.Skip.to.Item"
"10","Arthritis/rheumatism",773,773,NA
"11","Back or neck problem",413,1186,NA
"12","Birth defect",8,1194,NA
"13","Cancer",28,1222,NA
"14","Depression/anxiety/emotional problem",80,1302,NA
"15","Other developmental problem (such as cerebral palsy)",10,1312,NA
"16","Diabetes",79,1391,NA
"17","Fractures, bone/joint injury",125,1516,NA
"18","Hearing problem",29,1545,NA
"19","Heart problem",57,1602,NA
"20","Hypertension/high blood pressure",43,1645,NA
"21","Lung/breathing problem",61,1706,NA
"22","Mental retardation",5,1711,NA
"23","Other injury",36,1747,NA
"24","Senility",10,1757,NA
"25","Stroke problem",36,1793,NA
"26","Vision/problem seeing",22,1815,NA
"27","Weight problem",27,1842,NA
"28","Other impairment/problem",248,2090,NA
"77","Refused",0,2090,NA
"99","Don't know",20,2110,NA
".","Missing",7556,9666,NA
