"OHX28CSC.Code.or.Value","OHX28CSC.Value.Description","OHX28CSC.Count","OHX28CSC.Cumulative","OHX28CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #28","Value was recorded",380,380,NA
"0","Lingual AMALGAM restoration",0,380,NA
"1","Occlusal AMALGAM restoration",145,525,NA
"2","Facial AMALGAM restoration",6,531,NA
"3","Mesial AMALGAM restoration",2,533,NA
"4","Distal AMALGAM restoration",4,537,NA
"5","Lingual OTHER restoration",0,537,NA
"6","Occlusal OTHER restoration",132,669,NA
"7","Facial OTHER restoration",10,679,NA
"8","Mesial OTHER restoration",0,679,NA
"9","Distal OTHER restoration",1,680,NA
"-1","Crown (non-specific full-coverage restoration)",311,991,NA
"-4","Lingual caries",1,992,NA
"-5","Occlusal caries",31,1023,NA
"-6","Facial caries",25,1048,NA
"-7","Mesial caries",4,1052,NA
"-8","Distal caries",22,1074,NA
"< blank >","Missing",8091,9165,NA
