"FFQ0084.Code.or.Value","FFQ0084.Value.Description","FFQ0084.Count","FFQ0084.Cumulative","FFQ0084.Skip.to.Item"
1,"never",353,353,"FFQ0085"
2,"1-6 times per year",473,826,""
3,"7-11 times per year",611,1437,""
4,"1 time per month",652,2089,""
5,"2-3 times per month",1572,3661,""
6,"1 time per week",950,4611,""
7,"2 times per week",904,5515,""
8,"3-4 times per week",596,6111,""
9,"5-6 times per week",147,6258,""
10,"1 time per day",46,6304,""
11,"2 or more times per day",39,6343,""
88,"Blank",100,6443,""
99,"Error",29,6472,""
