"MCQ230b.Code.or.Value","MCQ230b.Value.Description","MCQ230b.Count","MCQ230b.Cumulative","MCQ230b.Skip.to.Item"
"10","Bladder",1,1,NA
"11","Blood",0,1,NA
"12","Bone",1,2,NA
"13","Brain",0,2,NA
"14","Breast",1,3,NA
"15","Cervix (cervical)",2,5,NA
"16","Colon",5,10,NA
"17","Esophagus (esophageal)",0,10,NA
"18","Gallbladder",0,10,NA
"19","Kidney",3,13,NA
"20","Larynx/ windpipe",0,13,NA
"21","Leukemia",1,14,NA
"22","Liver",1,15,NA
"23","Lung",1,16,NA
"24","Lymphoma/ Hodgkins disease",1,17,NA
"25","Melanoma",5,22,NA
"26","Mouth/tongue/lip",1,23,NA
"27","Nervous system",0,23,NA
"28","Ovary (ovarian)",6,29,NA
"29","Pancreas (pancreatic)",1,30,NA
"30","Prostate",5,35,NA
"31","Rectum (rectal)",0,35,NA
"32","Skin (non-melanoma)",7,42,NA
"33","Skin (don't know what kind)",5,47,NA
"34","Soft tissue (muscle or fat)",0,47,NA
"35","Stomach",0,47,NA
"36","Testis (testicular)",0,47,NA
"37","Thyroid",1,48,NA
"38","Uterus (uterine)",7,55,NA
"39","Other",8,63,NA
"66","More than 3 kinds",0,63,NA
"77","Refused",0,63,NA
"99","Don't know",0,63,NA
".","Missing",9512,9575,NA
