"OHX08CTC.Code.or.Value","OHX08CTC.Value.Description","OHX08CTC.Count","OHX08CTC.Cumulative","OHX08CTC.Skip.to.Item"
"D","Sound primary tooth",1171,1171,NA
"E","Missing due to dental disease",139,1310,NA
"J","Permanent root tip is present but no restorative replacement is present",53,1363,NA
"K","Primary tooth with surface condition (s)",79,1442,NA
"M","Missing due to other causes",11,1453,NA
"P","Missing  due to dental disease but replaced by a removable restoration",654,2107,NA
"Q","Missing due to other causes but replaced by a removable restoration",44,2151,NA
"R","Missing due to dental disease but replaced by a fixed restoration",80,2231,NA
"S","Sound permanent tooth",5473,7704,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7705,NA
"U","Unerupted",69,7774,NA
"X","Missing due to other causes, but replaced by a fixed restoration",16,7790,NA
"Y","Tooth present, condition cannot be assessed",336,8126,NA
"Z","Permanent tooth with surface condition (s)",839,8965,NA
"< blank >","Missing",457,9422,NA
