"OHX12CSC.Code.or.Value","OHX12CSC.Value.Description","OHX12CSC.Count","OHX12CSC.Cumulative","OHX12CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",921,921,NA
"0","Lingual surface caries",2,923,NA
"1","Occlusal/incisal caries",38,961,NA
"2","Facial surface caries",11,972,NA
"3","Mesial caries",6,978,NA
"4","Distal caries",24,1002,NA
"5","Lingual surface restoration",1,1003,NA
"6","Occlusal/incisal restoration",201,1204,NA
"7","Facial surface restoration",10,1214,NA
"8","Mesial restoration",0,1214,NA
"9","Distal restoration",6,1220,NA
"< blank >","Missing",7367,8587,NA
