"INDHHIN2.Code.or.Value","INDHHIN2.Value.Description","INDHHIN2.Count","INDHHIN2.Cumulative","INDHHIN2.Skip.to.Item"
"1","$     0 to $ 4,999",262,262,NA
"2","$ 5,000 to $ 9,999",426,688,NA
"3","$10,000 to $14,999",781,1469,NA
"4","$15,000 to $19,999",732,2201,NA
"5","$20,000 to $24,999",895,3096,NA
"6","$25,000 to $34,999",1367,4463,NA
"7","$35,000 to $44,999",876,5339,NA
"8","$45,000 to $54,999",786,6125,NA
"9","$55,000 to $64,999",605,6730,NA
"10","$65,000 to $74,999",410,7140,NA
"12","Over $20,000",464,7604,NA
"13","Under $20,000",115,7719,NA
"14","$75,000 to $99,999",893,8612,NA
"15","$100,000 and Over",1393,10005,NA
"77","Refused",216,10221,NA
"99","Don't know",229,10450,NA
".","Missing",87,10537,NA
