"OHX13CTC.Code.or.Value","OHX13CTC.Value.Description","OHX13CTC.Count","OHX13CTC.Cumulative","OHX13CTC.Skip.to.Item"
"D","Sound primary tooth",1186,1186,NA
"E","Missing due to dental disease",363,1549,NA
"J","Permanent root tip is present but no restorative replacement is present",60,1609,NA
"K","Primary tooth with surface condition (s)",351,1960,NA
"M","Missing due to other causes",9,1969,NA
"P","Missing due to dental disease but replaced by a removable restoration",866,2835,NA
"Q","Missing due to other causes but replaced by a removable restoration",8,2843,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",65,2908,NA
"S","Sound permanent tooth",3982,6890,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6890,NA
"U","Unerupted",103,6993,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,6994,NA
"Y","Tooth present, condition cannot be assessed",0,6994,NA
"Z","Permanent tooth with surface condition (s)",1251,8245,NA
"< blank >","Missing",602,8847,NA
