"FFQ0074.Code.or.Value","FFQ0074.Value.Description","FFQ0074.Count","FFQ0074.Cumulative","FFQ0074.Skip.to.Item"
1,"never",3592,3592,NA
2,"1-6 times per year",914,4506,NA
3,"7-11 times per year",382,4888,NA
4,"1 time per month",373,5261,NA
5,"2-3 times per month",480,5741,NA
6,"1 time per week",231,5972,NA
7,"2 times per week",191,6163,NA
8,"3-4 times per week",100,6263,NA
9,"5-6 times per week",37,6300,NA
10,"1 time per day",27,6327,NA
11,"2 or more times per day",11,6338,NA
88,"Blank",107,6445,NA
99,"Error",27,6472,NA
