"OHX28CTC.Code.or.Value","OHX28CTC.Value.Description","OHX28CTC.Count","OHX28CTC.Cumulative","OHX28CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",304,304,NA
"D","Sound primary tooth",1519,1823,NA
"E","Missing due to dental disease",180,2003,NA
"F","Permanent tooth with a restored surface condition",630,2633,NA
"J","Permanent root tip is present but no restorative replacement is present",50,2683,NA
"K","Primary tooth with a dental carious surface condition",62,2745,NA
"M","Missing due to other causes",230,2975,NA
"P","Missing due to dental disease but replaced by a removable restoration",387,3362,NA
"Q","Missing due to other causes but replaced by a removable restoration",14,3376,NA
"R","Missing due to dental disease but replaced by a fixed restoration",20,3396,NA
"S","Sound permanent tooth",5228,8624,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8624,NA
"U","Unerupted",149,8773,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8773,NA
"Y","Tooth present, condition cannot be assessed",7,8780,NA
"Z","Permanent tooth with a dental carious surface condition",78,8858,NA
"< blank >","Missing",307,9165,NA
