"OHX08RSC.Code.or.Value","OHX08RSC.Value.Description","OHX08RSC.Count","OHX08RSC.Cumulative","OHX08RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #8","Value was recorded",4,4,NA
"0","lingual AMALGAM restoration",0,4,NA
"1","occlusal AMALGAM restoration",0,4,NA
"2","facial AMALGAM restoration",0,4,NA
"3","mesial AMALGAM restoration",0,4,NA
"4","distal AMALGAM restoration",0,4,NA
"5","lingual OTHER restoration",0,4,NA
"6","occlusal OTHER restoration",0,4,NA
"7","facial OTHER restoration",3,7,NA
"8","mesial OTHER restoration",4,11,NA
"9","distal OTHER restoration",1,12,NA
"-1","Crown (non-specific full-coverage restoration)",0,12,NA
"< blank >","Missing",8354,8366,NA
