"OCD391.Code.or.Value","OCD391.Value.Description","OCD391.Count","OCD391.Cumulative","OCD391.Skip.to.Item"
"1","Agriculture, Forestry, Fishing",108,108,NA
"2","Mining",44,152,NA
"3","Utilities",51,203,NA
"4","Construction",275,478,NA
"5","Manufacturing: Durable Goods",384,862,NA
"6","Manufacturing: Non-Durable Goods",326,1188,NA
"7","Wholesale Trade",90,1278,NA
"8","Retail Trade",389,1667,NA
"9","Transportation, Warehousing",156,1823,NA
"10","Information Services",86,1909,NA
"11","Finance, Insurance",128,2037,NA
"12","Real Estate, Rental, Leasing",43,2080,NA
"13","Professional, Scientific, Technical Services",96,2176,NA
"14","Management, Administrative, Waste Services",125,2301,NA
"15","Educational Services",267,2568,NA
"16","Health Care, Social Assistance",349,2917,NA
"17","Arts, Entertainment, Recreation",59,2976,NA
"18","Accommodation, Food Services",368,3344,NA
"19","Other Services",139,3483,NA
"20","Private Household",71,3554,NA
"21","Public Administration",106,3660,NA
"22","Armed Forces",63,3723,NA
"98","Text present but uncodable",0,3723,NA
"99","Blank but applicable",5,3728,NA
".","Missing",2818,6546,NA
