"OHX11RSC.Code.or.Value","OHX11RSC.Value.Description","OHX11RSC.Count","OHX11RSC.Cumulative","OHX11RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #11","Value was recorded",1,1,NA
"0","lingual AMALGAM restoration",0,1,NA
"1","occlusal AMALGAM restoration",0,1,NA
"2","facial AMALGAM restoration",0,1,NA
"3","mesial AMALGAM restoration",1,2,NA
"4","distal AMALGAM restoration",0,2,NA
"5","lingual OTHER restoration",1,3,NA
"6","occlusal OTHER restoration",0,3,NA
"7","facial OTHER restoration",3,6,NA
"8","mesial OTHER restoration",0,6,NA
"9","distal OTHER restoration",0,6,NA
"-1","Crown (non-specific full-coverage restoration)",0,6,NA
"< blank >","Missing",9159,9165,NA
