"OHX05CTC.Code.or.Value","OHX05CTC.Value.Description","OHX05CTC.Count","OHX05CTC.Cumulative","OHX05CTC.Skip.to.Item"
"D","Sound primary tooth",1585,1585,NA
"E","Missing due to dental disease",312,1897,NA
"J","Permanent root tip is present but no restorative replacement is present",83,1980,NA
"K","Primary tooth with surface condition (s)",272,2252,NA
"M","Missing due to other causes",309,2561,NA
"P","Missing due to dental disease but replaced by a removable restoration",639,3200,NA
"Q","Missing due to other causes but replaced by a removable restoration",2,3202,NA
"R","Missing due to dental disease,  but replaced by a fixed restoration",75,3277,NA
"S","Sound permanent tooth",3754,7031,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7033,NA
"U","Unerupted",89,7122,NA
"X","Missing due to other causes, but replaced by a fixed restoration",3,7125,NA
"Y","Tooth present, condition cannot be assessed",68,7193,NA
"Z","Permanent tooth with surface condition (s)",1248,8441,NA
"< blank >","Missing",515,8956,NA
