"OHX29CTC.Code.or.Value","OHX29CTC.Value.Description","OHX29CTC.Count","OHX29CTC.Cumulative","OHX29CTC.Skip.to.Item"
"D","Sound primary tooth",1163,1163,NA
"E","Missing due to dental disease",374,1537,NA
"J","Permanent root tip is present but no restorative replacement is present",35,1572,NA
"K","Primary tooth with surface condition (s)",397,1969,NA
"M","Missing due to other causes",14,1983,NA
"P","Missing due to dental disease, but replaced by a removable restoration",608,2591,NA
"Q","Missing due to other causes, but replaced by a removable restoration",2,2593,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",37,2630,NA
"S","Sound permanent tooth",4196,6826,NA
"T","Permanent root tip is present but a restorative replacement is present",2,6828,NA
"U","Unerupted",99,6927,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,6927,NA
"Y","Tooth present, condition cannot be assessed",2,6929,NA
"Z","Permanent tooth with surface condition (s)",1316,8245,NA
"< blank >","Missing",602,8847,NA
