"OHX11CSC.Code.or.Value","OHX11CSC.Value.Description","OHX11CSC.Count","OHX11CSC.Cumulative","OHX11CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",256,256,NA
"0","Lingual surface caries",8,264,NA
"2","Facial surface caries",41,305,NA
"3","Mesial caries",19,324,NA
"4","Distal caries",21,345,NA
"5","Lingual surface restoration",23,368,NA
"7","Facial surface restoration",44,412,NA
"8","Mesial restoration",23,435,NA
"9","Distal restoration",69,504,NA
"< blank >","Missing",8083,8587,NA
