"OHD07CTC.Code.or.Value","OHD07CTC.Value.Description","OHD07CTC.Count","OHD07CTC.Cumulative","OHD07CTC.Skip.to.Item"
"D","Sound primary tooth",1110,1110,NA
"E","Missing due to dental disease",91,1201,NA
"K","Primary tooth with surface condition (s)",75,1276,NA
"M","Missing due to other causes",22,1298,NA
"R","Missing due to dental disease but replaced",798,2096,NA
"S","Sound permanent tooth",5760,7856,NA
"U","Unerupted",144,8000,NA
"X","Missing due to other causes but replaced",68,8068,NA
"Y","Tooth present, condition cannot be assessed",141,8209,NA
"Z","Permanent tooth with surface condition (s)",762,8971,NA
"< blank >","Missing",627,9598,NA
