"FFQ0090.Code.or.Value","FFQ0090.Value.Description","FFQ0090.Count","FFQ0090.Cumulative","FFQ0090.Skip.to.Item"
1,"never",1291,1291,"FFQ0091"
2,"1-6 times per year",1158,2449,""
3,"7-11 times per year",845,3294,""
4,"1 time per month",761,4055,""
5,"2-3 times per month",1085,5140,""
6,"1 time per week",538,5678,""
7,"2 times per week",362,6040,""
8,"3-4 times per week",194,6234,""
9,"5-6 times per week",50,6284,""
10,"1 time per day",32,6316,""
11,"2 or more times per day",20,6336,""
88,"Blank",110,6446,""
99,"Error",26,6472,""
