"MCQ230B.Code.or.Value","MCQ230B.Value.Description","MCQ230B.Count","MCQ230B.Cumulative","MCQ230B.Skip.to.Item"
"10","Bladder",2,2,NA
"11","Blood",1,3,NA
"12","Bone",1,4,NA
"13","Brain",0,4,NA
"14","Breast",1,5,NA
"15","Cervix (cervical)",0,5,NA
"16","Colon",5,10,NA
"17","Esophagus (esophageal)",0,10,NA
"18","Gallbladder",0,10,NA
"19","Kidney",1,11,NA
"20","Larynx/ windpipe",0,11,NA
"21","Leukemia",2,13,NA
"22","Liver",2,15,NA
"23","Lung",0,15,NA
"24","Lymphoma/Hodgkin's disease",1,16,NA
"25","Melanoma",2,18,NA
"26","Mouth/tongue/lip",0,18,NA
"27","Nervous system",0,18,NA
"28","Ovary (ovarian)",3,21,NA
"29","Pancreas (pancreatic)",0,21,NA
"30","Prostate",8,29,NA
"31","Rectum (rectal)",0,29,NA
"32","Skin (non-melanoma)",4,33,NA
"33","Skin (don't know what kind)",6,39,NA
"34","Soft tissue (muscle or fat)",0,39,NA
"35","Stomach",1,40,NA
"36","Testis (testicular)",0,40,NA
"37","Thyroid",0,40,NA
"38","Uterus (uterine)",2,42,NA
"39","Other",5,47,NA
"66","More than 3 kinds",0,47,NA
"77","Refused",0,47,NA
"99","Don't know",0,47,NA
".","Missing",9619,9666,NA
