"OCD231.Code.or.Value","OCD231.Value.Description","OCD231.Count","OCD231.Cumulative","OCD231.Skip.to.Item"
"1","Agriculture, Forestry, Fishing",55,55,NA
"2","Mining",17,72,NA
"3","Utilities",21,93,NA
"4","Construction",186,279,NA
"5","Manufacturing: Durable Goods",164,443,NA
"6","Manufacturing: Non-Durable Goods",119,562,NA
"7","Wholesale Trade",62,624,NA
"8","Retail Trade",289,913,NA
"9","Transportation, Warehousing",113,1026,NA
"10","Information Services",66,1092,NA
"11","Finance, Insurance",117,1209,NA
"12","Real Estate, Rental, Leasing",59,1268,NA
"13","Professional, Scientific, Technical Services",214,1482,NA
"14","Management, Administrative, Waste Services",157,1639,NA
"15","Educational Services",233,1872,NA
"16","Health Care, Social Assistance",434,2306,NA
"17","Arts, Entertainment, Recreation",76,2382,NA
"18","Accommodation, Food Services",271,2653,NA
"19","Other Services",187,2840,NA
"20","Private Household",35,2875,NA
"21","Public Administration",168,3043,NA
"22","Armed Forces",4,3047,NA
".","Missing",3128,6175,NA
