"BHQ060.Code.or.Value","BHQ060.Value.Description","BHQ060.Count","BHQ060.Cumulative","BHQ060.Skip.to.Item"
"1","Type 1 (separate hard lumps, like nuts),",132,132,NA
"2","Type 2 (sausage-like, but lumpy),",288,420,NA
"3","Type 3 (like a sausage but with cracks in the surface),",1226,1646,NA
"4","Type 4 (like a sausage or snake, smooth and soft),",2628,4274,NA
"5","Type 5 (soft blobs with clear-cut edges),",422,4696,NA
"6","Type 6 (fluffy pieces with ragged edges, a mushy stool),",369,5065,NA
"7","Type 7 (watery, no solid pieces),",68,5133,NA
"77","Refused",2,5135,NA
"99","Don't know",38,5173,NA
".","Missing",534,5707,NA
