"OHX05CTC.Code.or.Value","OHX05CTC.Value.Description","OHX05CTC.Count","OHX05CTC.Cumulative","OHX05CTC.Skip.to.Item"
"D","Sound primary tooth",1587,1587,NA
"E","Missing due to dental disease",309,1896,NA
"J","Permanent root tip is present but no restorative replacement is present",103,1999,NA
"K","Primary tooth with surface condition (s)",265,2264,NA
"M","Missing due to other causes",353,2617,NA
"P","Missing due to dental disease but replaced by a removable restoration",654,3271,NA
"Q","Missing due to other causes but replaced by a removable restoration",35,3306,NA
"R","Missing due to dental disease,  but replaced by a fixed restoration",81,3387,NA
"S","Sound permanent tooth",3997,7384,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7385,NA
"U","Unerupted",120,7505,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,7506,NA
"Y","Tooth present, condition cannot be assessed",54,7560,NA
"Z","Permanent tooth with surface condition (s)",1405,8965,NA
"< blank >","Missing",457,9422,NA
