"OHX24CTC.Code.or.Value","OHX24CTC.Value.Description","OHX24CTC.Count","OHX24CTC.Cumulative","OHX24CTC.Skip.to.Item"
"D","Sound primary tooth",1096,1096,NA
"E","Missing due to dental disease",115,1211,NA
"J","Permanent root tip is present but no restorative replacement is present",16,1227,NA
"K","Primary tooth with surface condition (s)",0,1227,NA
"M","Missing due to other causes",15,1242,NA
"P","Missing due to dental disease but replaced by a removable restoration",432,1674,NA
"Q","Missing due to other causes but replaced by a removable restoration",29,1703,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",38,1741,NA
"S","Sound permanent tooth",6991,8732,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8732,NA
"U","Unerupted",12,8744,NA
"X","Missing due to other causes, but replaced by a fixed restoration",8,8752,NA
"Y","Tooth present, condition cannot be assessed",87,8839,NA
"Z","Permanent tooth with surface condition (s)",126,8965,NA
"< blank >","Missing",457,9422,NA
