"OHX28RSC.Code.or.Value","OHX28RSC.Value.Description","OHX28RSC.Count","OHX28RSC.Cumulative","OHX28RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #28","Value was recorded",1,1,NA
"0","lingual AMALGAM restoration",0,1,NA
"1","occlusal AMALGAM restoration",6,7,NA
"2","facial AMALGAM restoration",0,7,NA
"3","mesial AMALGAM restoration",0,7,NA
"4","distal AMALGAM restoration",0,7,NA
"5","lingual OTHER restoration",0,7,NA
"6","occlusal OTHER restoration",1,8,NA
"7","facial OTHER restoration",0,8,NA
"8","mesial OTHER restoration",0,8,NA
"9","distal OTHER restoration",0,8,NA
"-1","Crown (non-specific full-coverage restoration)",0,8,NA
"< blank >","Missing",9157,9165,NA
