"FFQ0026A.Code.or.Value","FFQ0026A.Value.Description","FFQ0026A.Count","FFQ0026A.Cumulative","FFQ0026A.Skip.to.Item"
1,"never",541,541,NA
2,"1-6 times per season",797,1338,NA
3,"7-11 times per season",207,1545,NA
4,"1 time per month",187,1732,NA
5,"2-3 times per month",250,1982,NA
6,"1 time per week",153,2135,NA
7,"2 times per week",155,2290,NA
8,"3-4 times per week",101,2391,NA
9,"5-6 times per week",45,2436,NA
10,"1 time per day",64,2500,NA
11,"2 or more times per day",34,2534,NA
88,"Blank",3916,6450,NA
99,"Error",22,6472,NA
