"OHX31CSC.Code.or.Value","OHX31CSC.Value.Description","OHX31CSC.Count","OHX31CSC.Cumulative","OHX31CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #31","Value was recorded",1230,1230,NA
"0","Lingual surface caries",0,1230,NA
"1","Occlusal/incisal caries",131,1361,NA
"2","Facial surface caries",36,1397,NA
"3","Mesial caries",0,1397,NA
"4","Distal caries",1,1398,NA
"5","Lingual surface restoration",1,1399,NA
"6","Occlusal/incisal restoration",888,2287,NA
"7","Facial surface restoration",75,2362,NA
"8","Mesial restoration",0,2362,NA
"9","Distal restoration",0,2362,NA
"< blank >","Missing",6594,8956,NA
