"FFQ0091.Code.or.Value","FFQ0091.Value.Description","FFQ0091.Count","FFQ0091.Cumulative","FFQ0091.Skip.to.Item"
1,"never",3487,3487,NA
2,"1-6 times per year",1091,4578,NA
3,"7-11 times per year",487,5065,NA
4,"1 time per month",415,5480,NA
5,"2-3 times per month",496,5976,NA
6,"1 time per week",179,6155,NA
7,"2 times per week",100,6255,NA
8,"3-4 times per week",56,6311,NA
9,"5-6 times per week",17,6328,NA
10,"1 time per day",17,6345,NA
11,"2 or more times per day",5,6350,NA
88,"Blank",101,6451,NA
99,"Error",21,6472,NA
