"OHX30CSC.Code.or.Value","OHX30CSC.Value.Description","OHX30CSC.Count","OHX30CSC.Cumulative","OHX30CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #30","Value was recorded",1716,1716,NA
"0","Lingual surface caries",0,1716,NA
"1","Occlusal/incisal caries",96,1812,NA
"2","Facial surface caries",36,1848,NA
"3","Mesial caries",3,1851,NA
"4","Distal caries",2,1853,NA
"5","Lingual surface restoration",2,1855,NA
"6","Occlusal/incisal restoration",681,2536,NA
"7","Facial surface restoration",144,2680,NA
"8","Mesial restoration",0,2680,NA
"9","Distal restoration",0,2680,NA
"< blank >","Missing",6276,8956,NA
