"OHX26CTC.Code.or.Value","OHX26CTC.Value.Description","OHX26CTC.Count","OHX26CTC.Cumulative","OHX26CTC.Skip.to.Item"
"D","Sound primary tooth",1269,1269,NA
"E","Missing due to dental disease",155,1424,NA
"J","Permanent root tip is present but no restorative replacement is present",23,1447,NA
"K","Primary tooth with surface condition (s)",4,1451,NA
"M","Missing due to other causes",23,1474,NA
"P","Missing due to dental disease, but replaced by a removable restoration",388,1862,NA
"Q","Missing due to other causes, but replaced by a removable restoration",0,1862,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",23,1885,NA
"S","Sound permanent tooth",6212,8097,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8098,NA
"U","Unerupted",80,8178,NA
"X","Missing due to other causes, but replaced by a fixed restoration",3,8181,NA
"Y","Tooth present, condition cannot be assessed",119,8300,NA
"Z","Permanent tooth with surface condition (s)",141,8441,NA
"< blank >","Missing",515,8956,NA
