"PFQ063C.Code.or.Value","PFQ063C.Value.Description","PFQ063C.Count","PFQ063C.Cumulative","PFQ063C.Skip.to.Item"
"10","Arthritis/rheumatism",15,15,NA
"11","Back or neck problem",14,29,NA
"12","Birth defect",9,38,NA
"13","Cancer",8,46,NA
"14","Depression/anxiety/emotional problem",71,117,NA
"15","Other developmental problem (such as cerebral palsy)",2,119,NA
"16","Diabetes",43,162,NA
"17","Fractures, bone/joint injury",75,237,NA
"18","Hearing problem",35,272,NA
"19","Heart problem",52,324,NA
"20","Hypertension/high blood pressure",53,377,NA
"21","Lung/breathing problem",36,413,NA
"22","Mental retardation",2,415,NA
"23","Other injury",12,427,NA
"24","Senility",4,431,NA
"25","Stroke problem",10,441,NA
"26","Vision/problem seeing",45,486,NA
"27","Weight problem",33,519,NA
"28","Other impairment/problem",35,554,NA
"77","Refused",0,554,NA
"99","Don't know",0,554,NA
".","Missing",9091,9645,NA
