"OHX26CTC.Code.or.Value","OHX26CTC.Value.Description","OHX26CTC.Count","OHX26CTC.Cumulative","OHX26CTC.Skip.to.Item"
"D","Sound primary tooth",1283,1283,NA
"E","Missing due to dental disease",103,1386,NA
"J","Permanent root tip is present but no restorative replacement is present",25,1411,NA
"K","Primary tooth with surface condition (s)",1,1412,NA
"M","Missing due to other causes",12,1424,NA
"P","Missing due to dental disease, but replaced by a removable restoration",420,1844,NA
"Q","Missing due to other causes, but replaced by a removable restoration",26,1870,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",25,1895,NA
"S","Sound permanent tooth",6719,8614,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8614,NA
"U","Unerupted",70,8684,NA
"X","Missing due to other causes, but replaced by a fixed restoration",6,8690,NA
"Y","Tooth present, condition cannot be assessed",111,8801,NA
"Z","Permanent tooth with surface condition (s)",164,8965,NA
"< blank >","Missing",457,9422,NA
