"OHX10RSC.Code.or.Value","OHX10RSC.Value.Description","OHX10RSC.Count","OHX10RSC.Cumulative","OHX10RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #10","Value was recorded",2,2,NA
"0","lingual AMALGAM restoration",0,2,NA
"1","occlusal AMALGAM restoration",0,2,NA
"2","facial AMALGAM restoration",0,2,NA
"3","mesial AMALGAM restoration",0,2,NA
"4","distal AMALGAM restoration",1,3,NA
"5","lingual OTHER restoration",3,6,NA
"6","occlusal OTHER restoration",0,6,NA
"7","facial OTHER restoration",2,8,NA
"8","mesial OTHER restoration",1,9,NA
"9","distal OTHER restoration",3,12,NA
"-1","Crown (non-specific full-coverage restoration)",0,12,NA
"< blank >","Missing",9153,9165,NA
