"OHX19RSC.Code.or.Value","OHX19RSC.Value.Description","OHX19RSC.Count","OHX19RSC.Cumulative","OHX19RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #19","Value was recorded",10,10,NA
"0","lingual AMALGAM restoration",1,11,NA
"1","occlusal AMALGAM restoration",9,20,NA
"2","facial AMALGAM restoration",6,26,NA
"3","mesial AMALGAM restoration",3,29,NA
"4","distal AMALGAM restoration",0,29,NA
"5","lingual OTHER restoration",0,29,NA
"6","occlusal OTHER restoration",4,33,NA
"7","facial OTHER restoration",2,35,NA
"8","mesial OTHER restoration",1,36,NA
"9","distal OTHER restoration",1,37,NA
"-1","Crown (non-specific full-coverage restoration)",0,37,NA
"< blank >","Missing",9128,9165,NA
