"OHX03CSC.Code.or.Value","OHX03CSC.Value.Description","OHX03CSC.Count","OHX03CSC.Cumulative","OHX03CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #3","Value was recorded",1840,1840,NA
"0","Lingual surface caries",26,1866,NA
"1","Occlusal/incisal caries",77,1943,NA
"2","Facial surface caries",3,1946,NA
"3","Mesial caries",5,1951,NA
"4","Distal caries",1,1952,NA
"5","Lingual surface restoration",33,1985,NA
"6","Occlusal/incisal restoration",629,2614,NA
"7","Facial surface restoration",3,2617,NA
"8","Mesial restoration",0,2617,NA
"9","Distal restoration",0,2617,NA
"< blank >","Missing",6339,8956,NA
