"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",6,6,NA
"11","Back or neck problem",7,13,NA
"12","Birth defect",0,13,NA
"13","Cancer",0,13,NA
"14","Depression/anxiety/emotional problem",15,28,NA
"15","Other developmental problem (such as cerebral palsy)",0,28,NA
"16","Diabetes",22,50,NA
"17","Fractures, bone/joint injury",39,89,NA
"18","Hearing problem",34,123,NA
"19","Heart problem",40,163,NA
"20","Hypertension/high blood pressure",87,250,NA
"21","Lung/breathing problem",36,286,NA
"22","Mental retardation",0,286,NA
"23","Other injury",13,299,NA
"24","Senility",2,301,NA
"25","Stroke problem",13,314,NA
"26","Vision/problem seeing",59,373,NA
"27","Weight problem",43,416,NA
"28","Other impairment/problem",33,449,NA
"77","Refused",0,449,NA
"99","Don't know",0,449,NA
".","Missing",8781,9230,NA
