"OHX03CSC.Code.or.Value","OHX03CSC.Value.Description","OHX03CSC.Count","OHX03CSC.Cumulative","OHX03CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #3","Value was recorded",2124,2124,NA
"0","Lingual surface caries",23,2147,NA
"1","Occlusal/incisal caries",129,2276,NA
"2","Facial surface caries",1,2277,NA
"3","Mesial caries",3,2280,NA
"4","Distal caries",0,2280,NA
"5","Lingual surface restoration",31,2311,NA
"6","Occlusal/incisal restoration",613,2924,NA
"7","Facial surface restoration",6,2930,NA
"8","Mesial restoration",1,2931,NA
"9","Distal restoration",0,2931,NA
"< blank >","Missing",6491,9422,NA
