"DMDYRSUS.Code.or.Value","DMDYRSUS.Value.Description","DMDYRSUS.Count","DMDYRSUS.Cumulative","DMDYRSUS.Skip.to.Item"
"1","Less than 1 year",85,85,NA
"2","1 yr., less than 5 yrs.",312,397,NA
"3","5 yrs., less than 10 yrs.",209,606,NA
"4","10 yrs., less than 15 yrs.",231,837,NA
"5","15 yrs., less than 20 yrs.",141,978,NA
"6","20 yrs., less than 30 yrs.",168,1146,NA
"7","30 yrs., less than 40 yrs.",110,1256,NA
"8","40 yrs., less than 50 yrs.",93,1349,NA
"9","50 years or more",76,1425,NA
"77","Refused",5,1430,NA
"88","Could not determine",2,1432,NA
"99","Don't know",12,1444,NA
".","Missing",8678,10122,NA
