"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS",7357,7357,NA
"2","Droppers",13,7370,NA
"3","Drops",3,7373,NA
"5","Injections/shots",0,7373,NA
"6","LOZENGES/COUGH DROPS",17,7390,NA
"7","Milliliters",73,7463,NA
"11","Tablespoons",57,7520,NA
"12","Teaspoons",142,7662,NA
"13","Wafers",5,7667,NA
"15","Cans",0,7667,NA
"16","Grams",1,7668,NA
"17","Dots",0,7668,NA
"18","Cups",0,7668,NA
"19","Sprays/Squirts",1,7669,NA
"20","CHEWS/GUMMIES",362,8031,NA
"21","Scoop",30,8061,NA
"22","CC",0,8061,NA
"23","Capful",14,8075,NA
"27","Ounces",13,8088,NA
"28","Packages/Packets",58,8146,NA
"29","Vial",0,8146,NA
"30","Gumball",2,8148,NA
"31","Strips",0,8148,NA
"77","REFUSED",0,8148,NA
"99","DONT KNOW",1,8149,NA
".","Missing",136,8285,NA
