"OHX15CTC.Code.or.Value","OHX15CTC.Value.Description","OHX15CTC.Count","OHX15CTC.Cumulative","OHX15CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",709,709,NA
"J","Permanent root tip is present but no restorative replacement is present",71,780,NA
"K","Primary tooth with surface condition (s)",0,780,NA
"M","Missing due to other causes",6,786,NA
"P","Missing due to dental disease but replaced by a removable restoration",622,1408,NA
"Q","Missing due to other causes but replaced by a removable restoration",2,1410,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",10,1420,NA
"S","Sound permanent tooth",2591,4011,NA
"T","Permanent root tip is present but a restorative replacement is present",3,4014,NA
"U","Unerupted",2322,6336,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,6336,NA
"Y","Tooth present, condition cannot be assessed",24,6360,NA
"Z","Permanent tooth with surface condition (s)",2081,8441,NA
"< blank >","Missing",515,8956,NA
