"OHX07CSC.Code.or.Value","OHX07CSC.Value.Description","OHX07CSC.Count","OHX07CSC.Cumulative","OHX07CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",403,403,NA
"0","Lingual surface caries",34,437,NA
"2","Facial surface caries",18,455,NA
"3","Mesial caries",98,553,NA
"4","Distal caries",43,596,NA
"5","Lingual surface restoration",105,701,NA
"7","Facial surface restoration",25,726,NA
"8","Mesial restoration",130,856,NA
"9","Distal restoration",49,905,NA
"< blank >","Missing",7942,8847,NA
